Date,HAPP artefact number,Flake Type,Mass (g),Max Length (mm),Block Length (mm),Perc Lenth (mm),Prox Width (mm),Med Width (mm),Dist Width (mm),Prox Thickness (mm),Med Thickness (mm),Distalness of Max W (mm),Dist Thickness (mm),Distalness of Max Th (mm),Plat Width (mm),Plat Thickness (mm),Int Plat Angle,Ext Plat Angle,Plat surface,Overhang removal,Initiation,Bulb of percussion,Erailure scar,Termination,Raw Material,Dorsal Cortex (%),Platform Cortex (%),Dorsal Scars,Parallel Scars,Dorsal Terminations,Aberrant Terminations,Rotations,Cortex Location,Plat Preparation,Non-plat Cortex (%),Longest Face (mm),FS1 Length (mm),FS1 Prox Wid (mm),FS1 Med Wid (mm),FS1 Dist Wid (mm),FS1 Plat Angle,FS1 Termination,FS2 Length (mm),FS2 Prox Wid (mm),FS2 Med Wid (mm),FS2 Dist Wid (mm),FS2 Plat Angle,FS2 Termination,FS3 Length (mm),FS3 Prox Wid (mm),FS3 Med  Wid (mm),FS3 Dist Wid (mm),FS3 Plat Angle,FS3 Termination,FS4 Length (mm),FS4 Prox Wid (mm),FS4 Med Wid (mm),FS4 Dist Wid (mm),FS4 Plat Angle,FS4 Termination,FS5 Length (mm),FS5 Prox Wid (mm),FS5 Med Wid (mm),FS5 Dist Wid (mm),FS5 Plat Angle,FS5 Termination,Square,HAPP Bag,Artefact Class,S1 invas,S1 angle,S2 invas,S2 angle,S3 invas,S3 angle,S4 invas,S4 angle,S5 invas,S5 angle,S6 invas,S6 angle,S7 invas,S7 angle,S8 invas,S9 invas,S9 angle,S10 invas,S10 angle,S12 invas,S12 angle,S14 invas,S14 angle,S16 invas,S16 angle,S15 invas,S15 angle,S13 invas,S13 angle,S11 invas,S11 angle,S8 angle,S1 depth,S2 depth,S3 depth,S4 depth,S5 depth,S6 depth,S7 depth,S8 depth,S9 depth,S10 depth,S11 depth,S12 depth,S13 depth,S14 depth,S15 depth,S16 depth,Retouch1 L (mm),Retouch2 L (mm),Retouch3 L (mm),Total perimeter (mm),R6 depth of retouch (mm),R3 retouch baseline (mm),Scars,Terminations,Recent Damage?,Non-conchoidal fracture planes,HAPP artefact number,comments...,S1 T1,S1 T2,S2 T1,S2 T2,S4 T1,S4 T2,S6 T1,S6 T2,S8 T1,S8 T2,S7 T1,S7 T2,S5 T1,S5 T2,S3 T1,S3 T2,S9 T1,S9 T2,S10 T1,S10 T2,S12 T1,S12 T2,S14 T1,S14 T2,S16 T1,S16 T2,S15 T1,S15 T2,S13 T1,S13 T2,S11 T1,S11 T2,Core geometry,II,GIUR A,RPI,RCI,Auto_Every_2_of_Excavation Unit,Auto_Every_3_of_Excavation Unit,Auto_Every_2_of_Excavation Un_2,Auto_Every_3_of_Excavation Un_2
11/20/05,K,,361.92,,,40.67,67.07,105.99,83.57,35.48,60.09,20.87,45.79,,,,,,,,,,,,Quartzite,,,,,,,,,,,40.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,L,,1737.8,,,73.45,106.16,131.2,105.43,66.59,87.31,50.35,86.85,,,,,,,,,,,,Sandstone,,,,,,,,,,,73.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,M,,930.15,,,43.13,51.98,101.64,123.21,104.38,114.62,34.21,105.6,,,,,,,,,,,,Quartzite,,,,,,,,,,,43.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,N,,479.5,,,37.48,116.72,123.35,87.98,55.14,55.74,12.02,40.46,,,,,,,,,,,,Quartzite,,,,,,,,,,,37.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,O,,688.14,,,44.1,93.46,127.06,94.7,73.59,76.84,19.98,55.76,,,,,,,,,,,,Quartzite,,,,,,,,,,,43.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,P,,1298.95,,,42.76,146.46,137.14,101.7,109.56,109.91,13.58,63.01,,,,,,,,,,,,Quartzite,,,,,,,,,,,42.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,Q,,542.38,,,39.41,96.69,141.42,91.91,49.18,70.47,15.9,41.47,,,,,,,,,,,,Quartzite,,,,,,,,,,,39.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,R,,1011.55,,,64.27,100.93,136.37,103.97,48.38,97.7,37.97,53.27,,,,,,,,,,,,Quartzite,,,,,,,,,,,64.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,S,,1033.45,,,44.6,123.79,140.17,128.12,95.67,114.25,12.49,92.34,,,,,,,,,,,,Quartzite,,,,,,,,,,,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,T,,881.35,,,31.53,144.16,168.06,150.56,76.65,90.88,9.38,87.64,,,,,,,,,,,,Quartzite,,,,,,,,,,,31.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,U,,890.7,,,46.55,120.66,130.91,105.63,85.38,107.86,11.71,82.66,,,,,,,,,,,,Quartzite,,,,,,,,,,,46.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/20/05,V,,700.06,,,25.56,166.91,171.74,162.74,85.81,89.24,4.16,80.75,,,,,,,,,,,,Quartzite,,,,,,,,,,,25.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-flkd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Absent,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/21/05,Aend,,119.85,,,28.59,54.7,59.67,50.67,33.43,48.93,13.26,34.22,,50.32,34.45,,,,,,,,,Quartzite,,100,,1,,4,1,,Absent,70,27.33,13.67,18.71,15.98,12.39,110,Feather,12.09,15.68,11.24,5.86,100,Step,16.61,17.36,18.37,8.66,120,Feather,20.06,16.64,11.47,7.28,110,Feather,18.31,15.83,15.42,6.64,120,Feather,,,Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,290,,,8,8,No,Absent,Aend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,columnar,0,0,0.517,0,,,,
11/22/05,A1,Complete,9.49,24.95,21.06,21.06,26.96,38.02,24.48,9.72,11.06,12.19,3.87,,25.35,6.61,80,80,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,100,100,0,0,0,0,0,1 (all),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,40,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A2,Complete,5.05,22.37,22.36,22.36,19.93,24.65,12.2,8.09,8.22,10.82,3.02,,21.57,8.76,80,100,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,60,100,1,0,1,0,0,2b (crsR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,40,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A3,Complete,2.45,20.36,20.36,20.36,11.67,17.81,11.09,5.86,3.79,11.18,3.71,,12.39,5.1,60,110,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,80,100,1,0,1,0,0,2a (crsL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A3,Complete,0.32,16.26,16.26,16.26,6.73,6.58,3.75,3.47,2.62,2.67,1.54,,6.61,4.45,70,90,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,0,100,2,1,0,0,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,60,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A4,Complete,1.16,15.69,15.69,15.69,13.34,12.36,9.07,4.38,2.96,8.74,2.93,,11.17,5.02,80,80,Cortical,Absent,Herztian,Pronounced,Absent,Feather,Quartzite,40,100,1,0,1,0,0,2b (crsR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,40,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A7,Complete,2.31,22.57,22.52,22.51,21.05,16.17,6.39,5.54,6.01,6.83,1.52,,20.75,4.52,80,100,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,0,100,3,1,2,0,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,40,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A6,Complete,3.81,22.66,22.65,22.65,19.78,21.57,9.08,8,7.04,11.75,2.4,,17.45,7.26,80,90,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,10,100,2,1,2,0,0,11 (dst),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,40,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A9,Complete,1.43,16.12,14.07,14.06,11.48,17.59,11.1,5.79,5.42,9.77,4.66,,12.9,5.59,70,90,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,30,100,1,0,1,0,0,2a (crsL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,50,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A8,Complete,2.95,20.11,20.1,20.1,17.91,18.49,11.1,8.12,6.69,13.37,2.07,,16.49,9.12,80,90,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,0,100,2,1,0,0,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,40,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A11,Complete,2,14.49,13.67,13.67,22.78,24.05,14.7,4.58,4.5,6.19,2.42,,20.76,4.51,80,100,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,0,100,2,1,0,0,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,50,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A12,Complete,11.14,30.28,24.75,24.7,24.19,43.45,38.28,4.94,7.59,17.43,9.65,,21.87,5.52,90,100,Cortical,Present,Herztian,Diffuse,Absent,Feather,Quartzite,20,100,4,1,4,1,0,11 (dst),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A13,Complete,2.9,20.29,20.29,20.29,7.7,17.82,27.4,4.94,5.31,15.02,3.85,,4.61,2.15,90,90,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,30,100,3,1,3,1,0,11 (dst),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A14,Complete,1.46,17.98,17.98,17.98,18.08,12.2,8.44,4.97,5.01,3.4,1.74,,21.34,4.33,90,90,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,0,100,2,1,0,0,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,40,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A15,Complete,2.94,21.69,14.46,14.45,29.12,19.79,10.84,5.69,3.74,4.07,1.81,,27.18,6.62,80,90,Cortical,Absent,Herztian,Pronounced,Absent,Feather,Quartzite,0,100,2,1,0,0,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,40,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A17,Long R,1.95,15.21,15.21,15.21,19.36,14.25,9.96,5.02,5.63,3.48,2.59,,18.64,5.55,60,110,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,30,100,1,0,0,0,0,4 (cntdrs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A18,Complete,1.45,14.64,14.64,14.64,18.24,24.67,12.63,3.49,4.22,5.67,2.15,,18.05,4.77,70,100,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,50,100,1,0,1,0,0,2a (crsL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A20,Complete,1.47,19.84,19.82,19.82,14.26,13.89,9.33,3.08,3.21,4.48,1.74,,14.51,2.89,70,110,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,0,100,2,1,0,0,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A22,Trans Prox,1.07,16.31,12.14,12.14,10.95,19.8,19.5,2.48,3.46,8.71,2.59,,9.47,1.79,70,110,Cortical,Absent,Herztian,Diffuse,Absent,Step,Quartzite,0,100,3,1,1,1,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,20,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A23,Complete,7.03,25.48,21.28,21.24,32.7,33.13,27.22,8.17,7.28,10.97,3.98,,30.4,6.59,80,100,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,70,100,1,0,1,0,0,2a (crsL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A24,Complete,0.87,13.03,13.02,12.27,13.75,13.43,9.9,3.13,3.12,5.16,1.16,,11.69,4.44,70,110,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,20,100,1,0,1,0,0,2a (crsL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,40,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
11/22/05,A25,Complete,1.12,20.33,20.08,20.08,13.04,14.45,11.07,3.01,3.37,9.27,2.77,,12.44,3.79,80,100,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Quartzite,10,100,3,1,2,0,0,11 (dst),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flake,,,,,,,,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,A25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
